"d_x","d_y","ts_x","ts_y","f_x","f_y","cs_x","cs_y"
1342,667.485962,1342,2800,1342,1393.875122,1342,2800,
1343,668.378845,1343,2800,1343,1394.270874,1343,2750,
1344,669.952026,1344,2800,1344,1394.270874,1344,2750,
1345,669.952026,1345,2800,1345,1394.870361,1345,2800,
1346,670.632324,1346,2800,1346,1394.541626,1346,2800,
1347,670.632324,1347,2800,1347,1394.240967,1347,2800,
1348,671.312622,1348,2800,1348,1394.01062,1348,2800,
1349,672.205505,1349,2800,1349,1395.89978,1349,2750,
1350,672.885803,1350,2800,1350,1395.865112,1350,2800,
1351,672.885803,1351,2800,1351,1396.860718,1351,2800,
1352,673.566101,1352,2800,1352,1395.80249,1352,2800,
1353,673.566101,1353,2800,1353,1395.800781,1353,2800,
1354,674.203857,1354,2800,1354,1393.401123,1354,2850,
1355,675.42334,1355,2800,1355,1395.900391,1355,2731.707275,
1356,675.77179,1356,2800,1356,1395.680054,1356,2800,
1357,675.77179,1357,2800,1357,1395.774292,1357,2800,
1358,675.559204,1358,2800,1358,1394.682861,1358,2850,
1359,675.559204,1359,2800,1359,1395.224365,1359,2800,
1360,675.346619,1360,2800,1360,1393.18811,1360,2850,
1361,675.346619,1361,2800,1361,1393.266479,1361,2800,
1362,675.134033,1362,2800,1362,1392.256348,1362,2850,
1363,676.353516,1363,2800,1363,1394.550171,1363,2731.707275,
1364,675.830872,1364,2800,1364,1394.330566,1364,2800,
1365,674.937988,1365,2800,1365,1394.330566,1365,2850,
1366,674.725403,1366,2800,1366,1393.852295,1366,2850,
1367,675.944946,1367,2800,1367,1395.777588,1367,2731.707275,
1368,675.422302,1368,2800,1368,1396.273193,1368,2800,
1369,675.422302,1369,2800,1369,1396.698364,1369,2800,
1370,675.209717,1370,2800,1370,1395.039917,1370,2850,
1371,676.429199,1371,2800,1371,1396.783081,1371,2731.707275,
1372,675.884766,1372,2800,1372,1396.119507,1372,2850,
1373,675.884766,1373,2800,1373,1396.359497,1373,2800,
1374,676.565063,1374,2800,1374,1396.669678,1374,2800,
1375,676.565063,1375,2800,1375,1397.885376,1375,2800,
1376,677.245361,1376,2900,1376,1396.699463,1376,2800,
1377,678.969482,1377,2900,1377,1397.030396,1377,2800,
1378,681.391479,1378,2900,1378,1396.629883,1378,2850,
1379,683.115601,1379,2900,1379,1398.385132,1379,2800,
1380,685.537598,1380,2900,1380,1398.42981,1380,2850,
1381,686.75708,1381,2900,1381,1400.000854,1381,2829.268311,
1382,687.976563,1382,2900,1382,1399.352173,1382,2900,
1383,688.838623,1383,2900,1383,1400.750366,1383,2850,
1384,690.439575,1384,2900,1384,1399.836548,1384,2850,
1385,690.439575,1385,2900,1385,1399.385864,1385,2900,
1386,691.178467,1386,2900,1386,1399.385864,1386,2900,
1387,691.178467,1387,2900,1387,1400.095947,1387,2900,
1388,692.738403,1388,2900,1388,1398.489014,1388,2900,
1389,692.738403,1389,2900,1389,1398.311768,1389,2900,
1390,693.477295,1390,2900,1390,1398.208862,1390,2900,
1391,694.339355,1391,2900,1391,1400.1604,1391,2850,
1392,695.078247,1392,2900,1392,1398.737915,1392,2900,
1393,695.940308,1393,2900,1393,1400.78418,1393,2850,
1394,695.858215,1394,2900,1394,1400.872925,1394,2900,
1395,697.077698,1395,2900,1395,1402.403809,1395,2829.268311,
1396,697.456177,1396,2900,1396,1402.58313,1396,2900,
1397,697.456177,1397,2900,1397,1402.691895,1397,2900,
1398,697.374084,1398,2900,1398,1402.614014,1398,2900,
1399,697.374084,1399,2900,1399,1403.267456,1399,2900,
1400,696.429932,1400,2900,1400,1401.716187,1400,2950,
1401,697.649414,1401,2900,1401,1403.365356,1401,2829.268311,
1402,696.324768,1402,2900,1402,1402.009644,1402,2950,
1403,697.186829,1403,2900,1403,1403.913208,1403,2850,
1404,696.242676,1404,2900,1404,1402.743896,1404,2950,
1405,696.621155,1405,2900,1405,1402.82373,1405,2878.048828,
