"d_x","d_y","cs_x","cs_y"
4400,821.231506,4400,2850,
4401,821.579956,4401,2800,
4402,820.687073,4402,2850,
4403,819.794189,4403,2850,
4404,818.901306,4404,2850,
4405,818.901306,4405,2800,
4406,818.901306,4406,2800,
4407,819.794189,4407,2750,
4408,821.579956,4408,2750,
4409,821.579956,4409,2800,
4410,822.472839,4410,2750,
4411,824.19696,4411,2800,
4412,825.921082,4412,2800,
4413,828.507263,4413,2800,
4414,830.231384,4414,2800,
4415,831.955505,4415,2800,
4416,835.403748,4416,2800,
4417,836.265808,4417,2850,
4418,837.989929,4418,2850,
4419,838.85199,4419,2850,
4420,839.71405,4420,2850,
4421,840.576111,4421,2850,
4422,839.71405,4422,2950,
4423,839.71405,4423,2950,
4424,840.576111,4424,2850,
4425,840.576111,4425,2900,
4426,840.576111,4426,2900,
4427,840.576111,4427,2900,
4428,841.438171,4428,2850,
4429,842.300232,4429,2850,
4430,843.162292,4430,2850,
4431,844.024353,4431,2850,
4432,844.024353,4432,2900,
4433,844.024353,4433,2900,
4434,844.024353,4434,2900,
4435,844.886414,4435,2850,
4436,845.748474,4436,2850,
4437,846.610535,4437,2850,
4438,845.748474,4438,2900,
4439,846.610535,4439,2850,
4440,846.610535,4440,2900,
4441,845.748474,4441,2950,
4442,845.748474,4442,2900,
4443,844.886414,4443,2900,
4444,844.886414,4444,2900,
4445,844.886414,4445,2900,
4446,844.024353,4446,2900,
4447,844.024353,4447,2900,
4448,843.162292,4448,2900,
4449,843.162292,4449,2900,
4450,844.024353,4450,2850,
4451,845.748474,4451,2850,
4452,845.748474,4452,2900,
4453,845.748474,4453,2950,
4454,845.748474,4454,2900,
4455,846.581787,4455,2950,
4456,850.748474,4456,2850,
4457,851.581787,4457,2950,
4458,854.081787,4458,2950,
4459,854.9151,4459,2950,
4460,856.581787,4460,2900,
4461,858.248413,4461,2950,
4462,858.248413,4462,3000,
4463,859.081726,4463,3000,
4464,859.081726,4464,3000,
4465,859.915039,4465,2950,
4466,859.915039,4466,2950,
4467,859.915039,4467,3000,
4468,860.748352,4468,2950,
4469,861.581665,4469,2950,
4470,862.414978,4470,2950,
4471,864.081604,4471,2950,
4472,864.081604,4472,3000,
4473,864.914917,4473,3000,
4474,864.081604,4474,3050,
4475,864.081604,4475,3000,
4476,864.081604,4476,3000,
4477,864.914917,4477,2950,
4478,865.74823,4478,2950,
4479,864.914917,4479,3050,
4480,864.914917,4480,3000,
4481,865.74823,4481,3000,
4482,864.914917,4482,3050,
4483,864.914917,4483,3000,
4484,864.914917,4484,3000,
4485,864.081604,4485,3050,
4486,864.914917,4486,3000,
4487,864.914917,4487,3000,
4488,864.914917,4488,3000,
4489,864.914917,4489,3000,
4490,865.74823,4490,2950,
4491,865.74823,4491,3000,
4492,865.74823,4492,3000,
4493,865.74823,4493,3000,
4494,864.914917,4494,3050,
4495,864.914917,4495,3000,
4496,864.914917,4496,3000,
4497,864.914917,4497,3000,
4498,868.140747,4498,3000,
4499,868.947205,4499,3050,
4500,870.56012,4500,3000,
4501,872.173035,4501,3000,
4502,872.173035,4502,3100,
4503,873.78595,4503,3100,
4504,874.592407,4504,3050,
4505,875.398865,4505,3050,
4506,876.205322,4506,3050,
4507,876.205322,4507,3100,
4508,877.01178,4508,3050,
4509,877.01178,4509,3100,
4510,878.624695,4510,3000,
4511,880.23761,4511,3050,
4512,881.044067,4512,3050,
4513,881.850525,4513,3100,
4514,881.850525,4514,3100,
4515,881.850525,4515,3100,
4516,882.656982,4516,3050,
4517,882.656982,4517,3100,
4518,882.656982,4518,3100,
4519,882.656982,4519,3100,
4520,881.850525,4520,3150,
4521,881.850525,4521,3150,
4522,881.850525,4522,3100,
4523,881.850525,4523,3100,
4524,881.850525,4524,3100,
4525,881.850525,4525,3100,
4526,881.850525,4526,3100,
4527,881.850525,4527,3100,
